A Z |RF(R)|2 |RF(R)|2_U |RF(R)|2_L Element F(R)/PDU PDU l PT T Qp
108 53 0.004458 0.015637507 0.001570888 108Ip 0.175342858 0.055209557 2 5.3 0.2 0.605
109 53 0.018261 0.021772001 0.015341055 109Ip 0.355346346 0.054997796 2 9.35e-5 9.35e-5 0.827
112 55 0.020613 0.033091317 0.013417601 112Cs 0.378960041 0.054378135 2 0.0005 0.0005 0.823
113 55 0.005094 0.005774543 0.00450379 113Cs 0.188627122 0.054176608 2 1.67e-5 1.67e-5 0.976
116 57 0.022692 0.083453298 0.007587742 116La 0.399565633 0.05358639 2 0.084 0.05 0.734
117 57 0.0021 0.002975789 0.001513285 117La 0.121689346 0.053394277 2 0.0231 0.0216 0.825
121 59 0.001755 0.003508629 0.000787868 121Pr 0.111763687 0.052647753 2 0.01 0.01 0.9
130 63 0.0052 0.011856828 0.002199153 130Eu 0.194342068 0.051085354 2 0.0009 0.0009 1.039
131 63 0.00245 0.003570413 0.001691893 131Eu 0.133548687 0.050920929 2 0.0214 0.0188 0.959
135 65 0.002122 0.003277249 0.001329317 135Tb 0.124799383 0.050280076 3 0.00094 0.00094 1.2
140 67 0.013674 0.03621771 0.006909574 140Ho 0.31844409 0.049514765 3 0.006 0.006 1.106
141 67 0.002127 0.002664651 0.00170167 141Ho 0.125709273 0.049366203 3 0.0041 0.0041 1.19
141 67 0.005514 0.00741378 0.004044321 141Ho* 0.202422149 0.049366203 0 6.6e-6 6.6e-6 1.255
144 69 0.111029 0.190600553 0.053756098 144Tm 0.911021933 0.048929075 5 2.7e-6 2.7e-6 1.725
145 69 0.055626 0.067892152 0.045997595 145Tm 0.645467695 0.048786141 5 3.46e-6 3.46e-6 1.753
146 69 0.051356 0.060121259 0.044021107 146Tm 0.620799003 0.048644556 5 0.1176 0.0776 1.21
146 69 0.1901 0.218913156 0.165320574 146Tm* 1.194391901 0.048644556 5 0.203 0.199 1.14
147 69 0.069083 0.121141593 0.044455124 147Tm 0.720704939 0.0485043 5 3.78 0.567 1.073
147 69 0.055896 0.067487178 0.046778907 147Tm* 0.64828171 0.0485043 2 0.00036 0.00036 1.133
149 71 0.100651 0.168409432 0.056364355 149Lu 0.871587252 0.048227688 5 4.5e-7 4.5e-7 1.92
150 71 0.050025 0.058901996 0.042824749 150Lu 0.615043304 0.048091291 5 0.064 0.0448 1.283
150 71 0.022907 0.029081443 0.017570467 150Lu* 0.416191081 0.048091291 2 0.000043 0.000043 1.306
151 71 0.050709 0.055408591 0.046429294 151Lu 0.619812326 0.047956141 5 0.1271 0.0806 1.253
151 71 0.066138 0.078293359 0.056058252 151Lu* 0.70785381 0.047956141 2 1.54e-5 0.000016 1.3036
155 73 0.055743 0.12163467 0.027251713 155Ta 0.652255518 0.047427622 5 0.0029 0.0029 1.468
156 73 0.05017 0.062794771 0.040249482 156Ta 0.619357084 0.047298422 2 0.149 0.149 1.032
156 73 0.075927 0.124661874 0.049392205 156Ta* 0.761930639 0.047298422 5 8.52 0.358 1.127
157 73 0.079595 0.160384794 0.045150291 157Ta 0.780821826 0.047170357 0 0.3 0.0101 0.947
159 75 0.040578 0.066958423 0.025568124 159Re* 0.558512543 0.04691757 5 2.02e-5 2.02e-5 1.831
160 75 0.02727 0.032180353 0.023138704 160Re 0.458262032 0.046792814 2 0.000687 0.000687 1.287
161 75 0.044607 0.052737049 0.037777043 161Re 0.586621709 0.046669128 0 0.00044 0.00044 1.214
161 75 0.034334 0.045957249 0.026177043 161Re* 0.514661941 0.046669128 5 0.224 0.0148 1.338
164 77 0.014118 0.022016613 0.00796663 164Ir 0.330888275 0.04630434 5 0.000113 0.000113 1.844
164 77 0.026945 0.03809831 0.019914451 164Ir* 0.457122691 0.04630434 5 0.00034 0.0003 1.733
166 77 0.011155 0.025765787 0.006189225 166Ir 0.29463272 0.046066222 2 0.152 0.0105 1.168
166 77 0.026387 0.048100918 0.016312508 166Ir* 0.453138347 0.046066222 5 0.84 0.0151 1.34
167 77 0.023196 0.032658281 0.016814183 167Ir 0.42521926 0.045948642 0 0.11 0.0352 1.096
167 77 0.021369 0.03787973 0.013450505 167Ir* 0.408129501 0.045948642 5 7.5 0.03 1.261
170 79 0.006591 0.010366583 0.004244936 170Au 0.227243748 0.045601654 2 0.000321 0.000286 1.488
170 79 0.011464 0.014385354 0.009197035 170Au* 0.299695154 0.045601654 5 0.001046 0.000617 1.77
171 79 0.024513 0.034819609 0.016614178 171Au 0.438598589 0.045487865 0 2.45e-5 2.45e-5 1.464
171 79 0.012357 0.01447411 0.010630542 171Au* 0.311408724 0.045487865 5 0.00222 0.00102 1.719
176 81 0.031954 0.071399056 0.012539149 176Tl 0.502817687 0.044932396 0 0.0052 0.0052 1.282
177 81 0.045438 0.188504995 0.016008411 177Tl 0.600078883 0.044823914 0 0.067 0.018 1.18
177 81 0.002627 0.003653035 0.001923596 177Tl* 0.144278321 0.044823914 5 0.000396 0.000396 1.984
185 83 0.071015 0.150283253 0.028694049 185Bi 0.754929131 0.043985512 0 3.04e-6 2.8e-6 1.624
